iter	Passed	Remaining
1219	470569	1457995
1220	470922	1457507
1221	471278	1457028
1222	471622	1456514
1223	471976	1456031
1224	472327	1455538
1225	472696	1455104
1226	473032	1454564
1227	473403	1454134
1228	473764	1453673
1229	474133	1453237
1230	474487	1452755
1231	474854	1452313
1232	475204	1451821
1233	475573	1451385
1234	475917	1450873
1235	476294	1450463
1236	476632	1449934
1237	476990	1449465
1238	477349	1449000
1239	477701	1448513
1240	478066	1448066
1241	478407	1447549
1242	478753	1447045
1243	479110	1446574
1244	479460	1446084
1245	479810	1445592
1246	480168	1445125
1247	480534	1444683
1248	480876	1444168
1249	481230	1443692
1250	481593	1443241
1251	481956	1442789
1252	482317	1442334
1253	482666	1441841
1254	483008	1441329
1255	483371	1440878
1256	483731	1440418
1257	484099	1439982
1258	484462	1439534
1259	484801	1439014
1260	485160	1438552
1261	485515	1438081
1262	485865	1437593
1263	486236	1437168
1264	486578	1436658
1265	486934	1436188
1266	487288	1435713
1267	487651	1435264
1268	488000	1434775
1269	488369	1434344
1270	488741	1433922
1271	489100	1433463
1272	489443	1432957
1273	489812	1432527
1274	490154	1432020
1275	490507	1431543
1276	490877	1431118
1277	491219	1430609
1278	491573	1430136
1279	491926	1429662
1280	492290	1429219
1281	492664	1428803
1282	493041	1428398
1283	493396	1427928
1284	493739	1427426
1285	494088	1426941
1286	494467	1426541
1287	494802	1426014
1288	495170	1425584
1289	495524	1425112
1290	495894	1424689
1291	496267	1424271
1292	496603	1423751
1293	496956	1423278
1294	497312	1422812
1295	497647	1422288
1296	497982	1421764
1297	498333	1421287
1298	498678	1420792
1299	499035	1420332
1300	499383	1419845
1301	499762	1419448
1302	500108	1418956
1303	500469	1418508
1304	500827	1418051
1305	501196	1417627
1306	501556	1417176
1307	501920	1416735
1308	502290	1416314
1309	502646	1415852
1310	502989	1415352
1311	503338	1414873
1312	503707	1414448
1313	504063	1413987
1314	504406	1413489
1315	504774	1413061
1316	505128	1412596
1317	505515	1412221
1318	505884	1411797
1319	506228	1411302
1320	506595	1410873
1321	506970	1410468
1322	507322	1409996
1323	507674	1409526
1324	508031	1409069
1325	508401	1408646
1326	508767	1408215
1327	509121	1407751
1328	509494	1407338
1329	509887	1406982
1330	510239	1406514
1331	510585	1406027
1332	510950	1405591
1333	511324	1405183
1334	511666	1404687
1335	512012	1404202
1336	512364	1403732
1337	512712	1403254
1338	513066	1402790
1339	513415	1402313
1340	513764	1401836
1341	514129	1401403
1342	514486	1400950
1343	514858	1400538
1344	515195	1400030
1345	515564	1399607
1346	515930	1399178
1347	516293	1398740
1348	516633	1398242
1349	516984	1397773
1350	517333	1397297
1351	517664	1396776
1352	518035	1396359
1353	518404	1395940
1354	518779	1395535
1355	519137	1395085
1356	519502	1394655
1357	519850	1394179
1358	520199	1393705
1359	520548	1393232
1360	520906	1392784
1361	521282	1392383
1362	521634	1391918
1363	522006	1391506
1364	522355	1391035
1365	522701	1390554
1366	523073	1390142
1367	523428	1389687
1368	523785	1389238
1369	524127	1388746
1370	524500	1388338
1371	524840	1387842
1372	525203	1387409
1373	525549	1386930
1374	525900	1386464
1375	526273	1386056
1376	526650	1385659
1377	527015	1385231
1378	527379	1384801
1379	527737	1384356
1380	528081	1383871
1381	528440	1383426
